state,DEMOCRAT_votes_1976,DEMOCRAT_votes_1980,DEMOCRAT_votes_1984,DEMOCRAT_votes_1988,DEMOCRAT_votes_1992,DEMOCRAT_votes_1996,DEMOCRAT_votes_2000,DEMOCRAT_votes_2004,DEMOCRAT_votes_2008,DEMOCRAT_votes_2012,DEMOCRAT_votes_2016,DEMOCRAT_votes_2020,REPUBLICAN_votes_1976,REPUBLICAN_votes_1980,REPUBLICAN_votes_1984,REPUBLICAN_votes_1988,REPUBLICAN_votes_1992,REPUBLICAN_votes_1996,REPUBLICAN_votes_2000,REPUBLICAN_votes_2004,REPUBLICAN_votes_2008,REPUBLICAN_votes_2012,REPUBLICAN_votes_2016,REPUBLICAN_votes_2020
Alabama,0.5572726888447394,0.47448859067804633,0.38280781265064545,0.39863298309147205,0.4088006350485172,0.4315608769582409,0.4156650294789806,0.36844402322377173,0.38740434294574916,0.3835903309875247,0.3435794575797364,0.36569990212122333,0.42614870862746757,0.4875012016284021,0.6054249354760621,0.5916504893810266,0.4764540359939813,0.5012184320516389,0.5648375535326765,0.6246068975770077,0.603169130291706,0.6054582232982282,0.6208309236440906,0.620316431668648
Alaska,0.3565313091750692,0.2640790179557575,0.29867777751017555,0.362709628415519,0.3028711132430195,0.33267113649532326,0.27666339823504693,0.35516861912104364,0.37889373599389325,0.40812659112464433,0.36550871290111986,0.42771952271020497,0.5790457539611893,0.5434819653507527,0.666539823221984,0.595909372563913,0.3945749808515083,0.5080125817399221,0.5862095531587057,0.6106532991253942,0.5942451953880631,0.5480157739729447,0.5128151207753728,0.5283314327038078
Arizona,0.39799978188251545,0.28244683589928427,0.32542643169830887,0.387438741228785,0.3652045259671481,0.4651706594607681,0.4473458501738885,0.44396832928795554,0.4511525087476428,0.44589766941799386,0.45127654075817136,0.49364690614366613,0.5636613577948053,0.6060884838290739,0.6642148285841561,0.5995026764845679,0.38473141781132836,0.4429441649666585,0.5102113816043696,0.5486943408601376,0.5363524782262724,0.536545331659747,0.4867161647232105,0.4905598103046474
Arkansas,0.6496172812966184,0.4752263062004675,0.38290785001458605,0.4219173216645847,0.5320795284925204,0.5373644915194817,0.4586425626043496,0.44547630445189085,0.3886465976512423,0.36878990301720105,0.33653124129360934,0.34775061953014963,0.3490433661005687,0.4813427222648051,0.6046702532547269,0.563678361993771,0.3548339930552999,0.36800857664357395,0.5130719769663293,0.5430595907843537,0.5871590449992959,0.6056693608410911,0.6057410216382829,0.6239572985614432
California,0.47954821836112543,0.35919436910764124,0.41267775699231596,0.4755944256460335,0.46006587840280944,0.5109886561852729,0.5344973682775446,0.5430555753467436,0.6101263834713425,0.6023895914168964,0.6172639960455788,0.6348394689387351,0.4974831395594693,0.5269750288304541,0.5751694285169312,0.5112656789451673,0.32614669375921296,0.3820942008004616,0.41651496805255456,0.44357695977241773,0.36954858832464477,0.371203785207048,0.3161710653843943,0.3432072362528492
Colorado,0.4260994599792869,0.3107003250453797,0.3512289830011271,0.45282404324122666,0.40128028651907366,0.44426498409348764,0.4239350901130605,0.47037842254288303,0.5366023684069159,0.5149222655161517,0.48156980382847403,0.5501106714065329,0.5402777777777777,0.5506893494871037,0.6344215596967685,0.5305888833673129,0.35869052626212417,0.457964575409313,0.507502147736722,0.5171109535459211,0.4470752210933716,0.4612709163904798,0.4325139737143104,0.4160412563491241
Connecticut,0.46733700964038793,0.3852220566954778,0.3882998159383734,0.4687451936200372,0.42218572959541034,0.5283158147196567,0.5590962813244035,0.543137089719902,0.6058882967612181,0.5808501325885442,0.5456630109670987,0.5926073151568352,0.5188144450735923,0.4815595700729226,0.6073195173495126,0.5197756122029051,0.35783241221763246,0.34690804487101234,0.384436032270773,0.4394727791082799,0.3822146330562694,0.4074511424691504,0.40926914378814777,0.3918711828833072
Delaware,0.5196908870235357,0.4487414498362103,0.3993212136448627,0.4347775630174756,0.43523927905531384,0.518278497839814,0.5497772716309091,0.5334683760228152,0.6194266898150393,0.5861074198458528,0.5335333680563419,0.5874300579364167,0.46587620203529084,0.47207087937267683,0.5978269409047342,0.5587996366415757,0.35326634900904635,0.3657988995975038,0.4191628832866708,0.4575281857192356,0.36947033548975294,0.39982604073546113,0.41922824339319276,0.3977487677110555
District of columbia,0.8163122667772316,0.7489317898199426,0.853848775131574,0.8264697190437429,0.8464090485648498,0.8519001109160806,0.8515508137933767,0.8918386895503239,0.9245710975614343,0.9091311392818725,0.9048388386787171,0.9214969392140692,0.16509506604276492,0.134068284940393,0.137296013024876,0.1430445309705149,0.09095143515019423,0.09335795742114728,0.08951727143946824,0.09339766066454,0.06532557465968035,0.07278291417600523,0.04070383108054067,0.05397321376714795
Florida,0.5192610623078361,0.38500219830769633,0.3466024696827862,0.3850721693191546,0.3899012156452978,0.4802557119781926,0.48837821204036147,0.4709111002771423,0.5103330527066491,0.5000786506869869,0.4782331580580505,0.47861450725442234,0.46642434483758966,0.5551916270650328,0.653185810412361,0.6087155908926198,0.4090249693604387,0.42324548749668595,0.4884682657204043,0.5209751623233695,0.4821531916597622,0.49130977761975525,0.49021941416590736,0.5121981962250404
